ibge,anomes,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia
354200,202005,393,4437.0
354210,202005,315,7479.0
354220,202005,1293,16355.0
354230,202005,392,1832.0
354240,202005,436,2837.0
354250,202005,137,1719.0
354260,202005,3272,23703.0
354270,202005,402,5288.0
354280,202005,404,2856.0
354290,202005,410,7216.0
354300,202005,1680,16744.0
354310,202005,260,2345.0
354320,202005,236,745.0
354323,202005,132,905.0
354325,202005,467,2237.0
354330,202005,3488,33531.0
354340,202005,11340,172325.0
354350,202005,615,2701.0
354360,202005,126,831.0
354370,202005,516,4309.0
354380,202005,202,1208.0
354390,202005,3644,44809.0
354400,202005,555,3550.0
354410,202005,2252,24721.0
354420,202005,562,6924.0
354425,202005,982,7631.0
354430,202005,616,8506.0
354440,202005,126,1638.0
354450,202005,85,1007.0
354460,202005,280,1908.0
354470,202005,147,1496.0
354480,202005,391,3701.0
354490,202005,260,2550.0
354500,202005,798,3382.0
354510,202005,253,4324.0
354515,202005,76,481.0
354520,202005,2482,34904.0
354530,202005,1597,13774.0
354540,202005,470,1358.0
354550,202005,240,1287.0
354560,202005,492,5013.0
354570,202005,138,123.0
354580,202005,3114,37136.0
354600,202005,845,7262.0
354610,202005,93,987.0
354620,202005,119,1134.0
354625,202005,54,0.0
354630,202005,653,4100.0
354640,202005,1099,16985.0
354650,202005,378,7756.0
354660,202005,869,10315.0
354670,202005,381,2440.0
354680,202005,2274,15599.0
354690,202005,150,1910.0
354700,202005,324,3290.0
354710,202005,175,2082.0
354720,202005,43,123.0
354730,202005,4155,53409.0
354740,202005,37,0.0
354750,202005,790,8967.0
354760,202005,648,3456.0
354765,202005,42,440.0
354770,202005,903,8734.0
354780,202005,24338,325415.0
354790,202005,380,2096.0
354800,202005,1076,16273.0
354805,202005,364,3304.0
354810,202005,120,1071.0
354820,202005,264,1496.0
354830,202005,121,772.0
354840,202005,226,3548.0
354850,202005,8875,114032.0
354860,202005,460,2855.0
354870,202005,26519,422833.0
354880,202005,1099,14235.0
354890,202005,6581,105292.0
354900,202005,100,385.0
354910,202005,1080,9694.0
354920,202005,68,48.0
354925,202005,58,677.0
354930,202005,95,130.0
354940,202005,724,3620.0
354950,202005,652,9867.0
354960,202005,425,711.0
354970,202005,2051,37034.0
354980,202005,11994,175949.0
354990,202005,24236,327935.0
354995,202005,1175,11358.0
355000,202005,632,2489.0
355010,202005,826,4995.0
355020,202005,1332,6640.0
355030,202005,481105,5938451.0
355040,202005,1466,15998.0
355050,202005,388,3663.0
355060,202005,2400,28890.0
355070,202005,3208,42314.0
355080,202005,173,1406.0
355090,202005,368,1996.0
355100,202005,10819,107263.0
355110,202005,229,1096.0
355120,202005,206,1035.0
355130,202005,156,611.0
355140,202005,950,11857.0
355150,202005,1732,26467.0
355160,202005,544,6854.0
355170,202005,3751,47901.0
355180,202005,1047,6326.0
355190,202005,727,13599.0
355200,202005,409,971.0
355210,202005,1286,13593.0
355220,202005,18501,179684.0
355230,202005,237,1886.0
355240,202005,9096,110067.0
355250,202005,13718,101992.0
355255,202005,148,493.0
355260,202005,546,7567.0
355270,202005,449,4425.0
355280,202005,10150,120555.0
355290,202005,305,2272.0
355300,202005,370,7686.0
355310,202005,363,2247.0
355320,202005,198,2792.0
355330,202005,1071,15259.0
355340,202005,1711,22984.0
355350,202005,458,2405.0
355360,202005,542,7639.0
355365,202005,51,82.0
355370,202005,2282,38516.0
355380,202005,990,8099.0
355385,202005,651,8688.0
355390,202005,296,1135.0
355395,202005,614,5876.0
355400,202005,3615,46334.0
355410,202005,5367,36766.0
355420,202005,223,1891.0
355430,202005,1465,7274.0
355440,202005,202,2436.0
355450,202005,919,15406.0
355460,202005,170,973.0
355465,202005,143,541.0
355470,202005,296,3222.0
355475,202005,134,3786.0
355480,202005,1850,14522.0
355490,202005,233,2978.0
355495,202005,214,2437.0
355500,202005,1669,26201.0
355510,202005,387,3040.0
355520,202005,52,768.0
355530,202005,58,268.0
355535,202005,209,828.0
355540,202005,5544,54067.0
355550,202005,230,4018.0
355560,202005,135,1109.0
355570,202005,43,1308.0
355580,202005,402,2530.0
355590,202005,87,1222.0
355600,202005,398,6057.0
355610,202005,502,6758.0
355620,202005,1757,32068.0
355630,202005,925,8838.0
355635,202005,286,2777.0
355640,202005,845,7140.0
355645,202005,1804,20160.0
355650,202005,2496,28982.0
355660,202005,346,2864.0
355670,202005,1137,17247.0
355680,202005,362,2906.0
355690,202005,114,506.0
355695,202005,44,212.0
355700,202005,3414,35918.0
355710,202005,2557,35394.0
